,lon,lat,k2,k3,k4,k5,k6,centroid
8415,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8416,-122.418274172,37.7870372043,[0],[1],[0],[3],[2],0.0
8417,-122.417970955,37.7594884557,[1],[0],[1],[1],[1],0.0
8418,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
8419,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8420,-122.416725586,37.7579542741,[1],[0],[1],[1],[1],0.0
8421,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8422,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8423,-122.415617252,37.756413769,[1],[0],[1],[1],[1],0.0
8424,-122.418274172,37.7870372044,[0],[1],[0],[3],[2],0.0
8425,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8426,-122.504756154,37.7356169339,[1],[2],[3],[2],[3],0.0
8427,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8428,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8429,-122.414845139,37.7605000726,[1],[0],[1],[1],[1],0.0
8430,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8431,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8432,-122.418486297,37.7634954373,[1],[0],[1],[1],[1],0.0
8433,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8434,-122.417028392,37.7603656932,[1],[0],[1],[1],[1],0.0
8435,-122.415675315,37.7854477947,[0],[1],[0],[3],[2],0.0
8436,-122.423031175,37.7854818747,[0],[1],[0],[3],[2],0.0
8437,-122.420592674,37.7858416241,[0],[1],[0],[3],[2],0.0
8438,-122.413107623,37.765448018,[1],[0],[1],[1],[1],0.0
8439,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8440,-122.417169895,37.7611477648,[1],[0],[1],[1],[1],0.0
8441,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8442,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8443,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8444,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8445,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8446,-122.416557578,37.754748511,[1],[0],[1],[1],[1],0.0
8447,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8448,-122.418274172,37.7870372044,[0],[1],[0],[3],[2],0.0
8449,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
8450,-122.418272166,37.7619029613,[1],[0],[1],[1],[1],0.0
8451,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8452,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8453,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8454,-122.413107623,37.765448018,[1],[0],[1],[1],[1],0.0
8455,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8456,-122.416082198,37.7628232674,[1],[0],[1],[1],[1],0.0
8457,-122.418272166,37.7619029613,[1],[0],[1],[1],[1],0.0
8458,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8459,-122.419039119,37.7907880214,[0],[1],[0],[3],[2],0.0
8460,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8461,-122.420307356,37.7886989511,[0],[1],[0],[3],[2],0.0
8462,-122.408648588,37.7849124714,[0],[1],[0],[0],[0],0.0
8463,-122.418120086,37.760301234,[1],[0],[1],[1],[1],0.0
8464,-122.420874632,37.7914943052,[0],[1],[0],[3],[2],0.0
8465,-122.420874632,37.7914943052,[0],[1],[0],[3],[2],0.0
8466,-122.422752179,37.7879555523,[0],[1],[0],[3],[2],0.0
8467,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8468,-122.420497289,37.7896188193,[0],[1],[0],[3],[2],0.0
8469,-122.4199083,37.7870766696,[0],[1],[0],[3],[2],0.0
8470,-122.423382449,37.7875809019,[0],[1],[0],[3],[2],0.0
8471,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8472,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8473,-122.416863556,37.7579459515,[1],[0],[1],[1],[1],0.0
8474,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8475,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8476,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8477,-122.419039119,37.7907880214,[0],[1],[0],[3],[2],0.0
8478,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8479,-122.414845139,37.7605000726,[1],[0],[1],[1],[1],0.0
8480,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8481,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8482,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8483,-122.419159191,37.7833430636,[0],[1],[0],[3],[2],0.0
8484,-122.41967178,37.7650501215,[1],[0],[1],[1],[1],0.0
8485,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8486,-122.41638971,37.7652491154,[1],[0],[1],[1],[1],0.0
8487,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8488,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8489,-122.422330464,37.7903690689,[0],[1],[0],[3],[2],0.0
8490,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8491,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8492,-122.412301187,37.7635382941,[1],[0],[1],[1],[1],0.0
8493,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8494,-122.420874632,37.7914943052,[0],[1],[0],[3],[2],0.0
8495,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8496,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8497,-122.420021471,37.7872807076,[0],[1],[0],[3],[2],0.0
8498,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8499,-122.418486297,37.7634954373,[1],[0],[1],[1],[1],0.0
8500,-122.416452066,37.7863086886,[0],[1],[0],[3],[2],0.0
8501,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8502,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
