,lon,lat,k2,k3,k4,k5,k6,centroid
8713,-122.420120319,37.7877570602,[0],[1],[0],[3],[2],0.0
8714,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8715,-122.418844748,37.789829767,[0],[1],[0],[3],[2],0.0
8716,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8717,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8718,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8719,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8720,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8721,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8722,-122.415308389,37.7653161356,[1],[0],[1],[1],[1],0.0
8723,-122.418050744,37.7899896643,[0],[1],[0],[3],[2],0.0
8724,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8725,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8726,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8727,-122.420691681,37.790577071,[0],[1],[0],[3],[2],0.0
8728,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8729,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8730,-122.416452066,37.7863086886,[0],[1],[0],[3],[2],0.0
8731,-122.49669822,37.7523946421,[1],[2],[3],[2],[3],0.0
